gap_id,severity,status,resolution_section,remediation_file
G55,L,RESOLVED_2026-05-05-B,§26 Agora 禁止操作表與 role default route,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G59,M,RESOLVED_2026-05-05-B,§29 Notebook markdown extension 規格,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G60,M,RESOLVED_2026-05-05-B,§30 Persona Lab sandbox commit 流程,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G61,M,RESOLVED_2026-05-05-B,§9 Memory 與 Training Update 連結規則,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G62,M,RESOLVED_2026-05-05-B,§25 Trainer evaluation suite schema 與 publish gate,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G63,M,RESOLVED_2026-05-05-B,§25 Trainer evaluation suite schema 與 publish gate,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G64,L,RESOLVED_2026-05-05-B,§31 Channel detail 欄位,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G65,L,RESOLVED_2026-05-05-B,§13 Agora handoff schema、SLA、attach to strategy,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G69,M,RESOLVED_2026-05-05-B,§32 Agora Session / Message attachment 與 inline citation schema,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G70,M,RESOLVED_2026-05-05-B,§33 缺漏 BFF endpoints 定義,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G71,M,RESOLVED_2026-05-05-B,§34 Accept-Language fallback chain,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G72,M,RESOLVED_2026-05-05-B,§21 SSE diagnostic 與 SSE channel catalog,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G73,M,RESOLVED_2026-05-05-B,§12 Job types input/output payload、async 判定、progress throttling,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G74,M,RESOLVED_2026-05-05-B,§7 i18n 驗收工具與錯誤訊息規格,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G75,L,RESOLVED_2026-05-05-B,§35 日期時間與金額顯示策略,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G76,L,RESOLVED_2026-05-05-B,§35 日期時間與金額顯示策略,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G77,L,RESOLVED_2026-05-05-B,§36 Review cc / observer 欄位,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G79,M,RESOLVED_2026-05-05-B,§37 HighRiskConfirmationModal memo 字數限制,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G80,M,RESOLVED_2026-05-05-B,§8 Incident mitigation / training feedback / attachment schema,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G81,L,RESOLVED_2026-05-05-B,§6 Design token 對應表,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G82,L,RESOLVED_2026-05-05-B,§38 FormulaBuilder keyboard shortcuts,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G83,L,RESOLVED_2026-05-05-B,§39 Component namespacing,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G84,L,RESOLVED_2026-05-05-B,§40 EventStreamPanel retain count,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G85,L,RESOLVED_2026-05-05-B,§41 Form / editor validation strategy,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G87,M,RESOLVED_2026-05-05-B,§42 Mock data schema alignment 與命名規則,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G88,L,RESOLVED_2026-05-05-B,§43 Demo scenario × page acceptance 對應與 phase × page 表,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G89,L,RESOLVED_2026-05-05-B,§43 Demo scenario × page acceptance 對應與 phase × page 表,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G90,L,RESOLVED_2026-05-05-B,§44 Lovable prompt token budget,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G91,L,RESOLVED_2026-05-05-B,§45 Dynamic route parameter schema,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
G92,L,RESOLVED_2026-05-05-B,§42 Mock data schema alignment 與命名規則,Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_zh-TW.md / Pantheon_Frontend_Build_Spec_SA_SD_Gap_Remediation_2026-05-05-B_Medium_Low_en-US.md
