id,area,severity,spec_ref,gap,impact,suggested_resolution
C040,Rebalance,M,v3 §11,Backward step transitions undefined,Reviewers cannot rollback,Add canRollbackTo per step
C041,Rebalance,M,v3 §11,Reviewer/Approver quorum undefined,Single approver risk,Mark minApprovers + requiredRoles
C042,Capital,L,v3 §9,Multi-currency/FX not discussed,Cross-FX displays wrong,Declare base currency + BFF FX
C043,Evolution,M,v3 §12,Constraint validators missing,Runaway runs,Add min/max/step + dry-run
C044,Experiment,M,v3,Promote gating thresholds missing,Premature promotion,Define promote checklist + automated gate
C045,Evolution,L,v3 §12,Reproducibility lock missing,Cannot reproduce fitness,Persist seed/snapshot/commit per run
C046,i18n,M,v3 §13.7,Mixed-locale UGC strategy undefined,Search/TTS/Persona language errors,Keep UGC raw; persona reply uses fallback
C047,i18n,M,v3 §13,Date/Number/Currency ICU patterns missing,Per-page format drift,Add format token table
C048,i18n,L,v3 §13.1,Region split (zh-TW/HK/CN) not discussed,Future market entry cost,Declare zh-TW/en-US only
C049,i18n,L,v3 §13.5,Pluralization convention missing,English plural errors,ICU plural standard
C050,Design tokens,M,Pack B B1,Dark-mode token values missing,No dark mode support,Add --*-dark + system/user toggle
C051,Design tokens,M,Pack B B1,Density (compact/comfortable) missing,Trader density unmet,Add density token + preference
C052,Components,M,Pack B B3,Skeleton specs per component missing,Inconsistent skeletons,Define TableSkeleton/ChartSkeleton
C053,Components,M,Pack B B3,LineageGraph node-limit/perf budget missing,Large lineages freeze,Cap 200 visible + dagre LR
C054,Components,L,Cross,RightDrawer stacking undefined,User disorientation,Max 2 layers; ESC closes top
C055,Components,L,Pack B B1,CommandPalette ranking rules missing,Inconsistent search UX,Define ranking weights
C056,a11y,H,Cross,No accessibility chapter,Compliance failure on delivery,Add §22 Accessibility AA
C057,a11y,M,Cross,Global keyboard shortcuts missing,Trader efficiency loss,Define shortcut table + help drawer
C058,a11y,L,Cross,prefers-reduced-motion not handled,Vestibular issues,Wrap animations motion-safe
C059,Acceptance,H,Cross,No cross-page end-to-end scenarios,Per-page pass but flow breaks,Add §23 E2E scenarios
C060,Mock,M,Cross,Seed scale/state coverage undefined,Inconsistent repro,Mark mockMin per entity
C061,Mock,M,Cross,Demo scenarios lack steps,Demo improvisation,Add Given/When/Then per scenario
C062,Test,M,Cross,No contract test convention,BFF integration silent break,Declare OpenAPI as SoT + schema validation
C063,Performance,M,Cross,No performance targets,Cannot accept perf,Add §24 Performance Budget
C064,Security,H,Cross,No security chapter,Cannot pass security review,Add §25 Security baseline
C065,Security,M,Cross,Audit immutability not stated,Audit credibility risk,Append-only; admin cannot edit
C066,Test,L,Cross,No visual regression rule,Refactor regression invisible,Declare future work
C067,Spec,M,Cross,No glossary,Cross-team term divergence,Add §0.1 Glossary
C068,Spec,M,Cross,No diagrams (state/flow/ER),Slow ramp-up,Add mermaid diagrams
C069,Spec,L,Cross,No semver/changelog rule,Unpredictable upgrades,Adopt semver + CHANGELOG.md
C070,Spec,L,Cross,No section owner,No triage owner,Mark owner per H2
C071,Strategy,M,v3 §13,Costs/Calendar tab content schema missing,Tab is placeholder,Define cost breakdown + calendar source
C072,Persona,M,v3 §13,Persona Lab tab internals missing,Lab is shell,Add §11.x Persona Lab design
C073,Capital,M,v3 §13,Ranking Inputs tab source contract missing,Cannot compute ranking,Add input contract table
C074,Rebalance,M,v3 §11.2,Per-step UI pattern missing,Generic stepper used,Mark uiPattern per step
C075,Signal,M,v3 §16,Confidence 1-5 labels/reason rules missing,Random scoring,Define labels + reason required for 4/5
C076,Committee,L,v3 §18,Per-committee evidence templates missing,Pack assembled ad-hoc,Add 4 committee templates
C077,DailyBrief,L,Pack B B3,KPI tz/trading-day/null handling missing,Cross-tz divergence,Standardize tz UTC + exchange-local trading day
C078,CommandCenter,L,Pack B B3,Lifecycle bucket color mapping missing,Inconsistent with StatusBadge,Bind buckets to --status-* tokens
