id,severity,part,section,line,title,area,current_workaround,suggested_resolution
G43,M,3,Audit,5936-,retention/export 行為缺,Audit,自加 CSV export,補 export 規格
G44,M,3,Settings,5976-,SSE diagnostic 未列,Settings,Settings 自加,補 SSE tooling
G45,L,3,Empty State,6008-,頁面 ID 未對應,UX,通用 placeholder,補頁面對應
G46,L,3,Loading/Error,6028-,型別差異未列,UX,通用,補型別 variant
G47,L,3,Acceptance,-,各頁尾段風格不一,Process,ad hoc,統一模板
G48,H,4,§22,7410-7471,Handoff payload schema 缺,Handoff,handoff.ts 7 種自定,補各 type schema
G49,H,4,§9.6,-,Signal captured signal throttling 未說,Signal,每點擊送,補 batch 規則
G50,M,4,§11.4,-,Persona Ask Modes prompt scope 缺,Persona,AskPersonas 自定,補 prompt scope
G51,M,4,§12.4,-,Committee evidence pack schema 缺,Committee,markdown placeholder,補 schema
G52,M,4,§15,-,Insight attach to strategy 規格缺,Insight,InsightInbox 自加,補 endpoint
G53,M,4,§18,-,Trainer evaluation suite 欄位缺,Trainer,TrainerStudio 自定,補 schema
G54,L,4,§3.2,-,Agora 不可做事項與 §24 重複,Process,duplicate,合併表
G55,L,4,§4.1,-,角色 default route 未定,Workflow,ad hoc,補落地頁
G56,H,5,Daily Brief,8116-,KPI 計算公式缺,DailyBrief,DailyBrief 自算,補公式
G57,H,5,Signal Review,8265-,confidence scale 未定,Signal,採 1-5,補 scale
G58,H,5,Committee Room,-,evidence pack upload 規格缺,Committee,textarea,補 upload spec
G59,M,5,Notebook,8378-,markdown extension 未指定,Notebook,KaTeX 自加,補 extension list
G60,M,5,Persona Lab,-,sandbox commit 流程缺,PersonaLab,commit 自加,補 commit flow
G61,M,5,Memory Review,9166-,quarantined→active reviewer 缺,Memory,自定,補 reviewer 規則
G62,M,5,Trainer Studio,9253-,publish 前 evaluation gate 缺,Trainer,不阻擋,補 gate
G63,M,5,Skill Coaching,9390-,與 Trainer suite 是否同物件未定,Skill,兩處 list,明確化
G64,L,5,Agora Channels,9464-,ChannelDetail 欄位不全,Channel,N/A 欄,補欄位
G65,L,5,Handoff,9520-,handoff types 數量 6 vs 7,Handoff,以 7 為主,統一
G66,H,6,§3.6 / §2.5,-,confirm token endpoint 缺,BFF,mutations 自定,補 endpoint
G67,H,6,§3.5 vs §6.x,-,availableActions list/detail 不一致,BFF,string[] / object[] 並存,統一 object[]
G68,H,6,§6.7,-,Rebalance reviewer/approver 欄缺,Rebalance,推測,補欄位
G69,M,6,§7.3,-,Session/Message attachment/citation 缺,Agora,CommitteeRoom 自加,補欄位
G70,M,6,§8,-,BFF endpoint 缺 5 個,BFF,queries 自加,補 endpoint
G71,M,6,§10,-,Accept-Language fallback 鏈缺,i18n,mock 自加,補 fallback
G72,M,6,-,-,SSE channel catalog 缺,Realtime,useMockRealtime 18 channel,Part 6 新增 §11
G73,M,6,§6.11,-,Job progress 節流率未定,Jobs,JobDrawer 1s,補節流
G74,M,6,§3.7,-,Error i18nKey 缺,Errors,英文 fallback,補 i18nKey
G75,L,6,§3.8,-,Timezone 顯示策略未定,Format,dayjs 自定,補時區
G76,L,6,§3.9,-,Money 精度未定,Format,2 位,補精度
G77,L,6,§6.10,-,Review observer 欄缺,Governance,無 observer,補欄位
G78,H,7,§17.x,-,18 state machine 與 Part 2/6 5 處不一致,StateMachine,以 Part 7 為主,統一
G79,M,7,§8.3,-,HighRiskConfirmationModal memo 字數限缺,Hi-Risk,maxLen 1000,補限制
G80,M,7,§11.3,-,IncidentTimeline attachment 缺,Incident,link list,補 attachment
G81,L,7,§6.x,-,StatusBadge 顏色 token 缺,Design,自用 token,補 mapping
G82,L,7,§13.1,-,FormulaBuilder shortcut 缺,Ranking,自加,補 shortcut
G83,L,7,§15.x,-,Agora/Console 元件命名重複,Components,分資料夾,重命名或共用
G84,L,7,§11.5,-,EventStream retain count 缺,Realtime,200,補上限
G85,L,7,§16,-,Forms 驗證策略缺,Forms,zod 自選,補策略
G86,H,8,QA,-,Emergency Kill entry/target 缺,Risk,Operations 自加 strategy target,補 target enum
G87,M,8,§7.x,-,Mock 與 schema 欄位不齊,Mock,fixture 不全,對齊 fixture
G88,L,8,§8,-,Demo scenarios 與 acceptance 對應缺,QA,ad hoc,補 mapping
G89,L,8,§2.x,-,Phase 與 Part 章節對應缺,Process,plan 自對,補 phase 表
G90,L,8,§3,-,Master Prompt token budget 缺,Prompt,-,補 budget
G91,L,8,§6,-,Routes dynamic param 規範缺,Router,:id 自定,補 schema
G92,L,8,§7.x,-,Mock id 命名不一致,Mock,unify,統一命名
