cid,severity,category,title,status,section,implementation_directive
C043,M,Evolution,Constraints validation,RESOLVED_BY_PACK_C,§C043,Implement according to Pack C section §C043
C044,M,Experiment,Promote gating,RESOLVED_BY_PACK_C,§C044,Implement according to Pack C section §C044
C045,L,Evolution,Reproducibility,RESOLVED_BY_PACK_C,§C045,Implement according to Pack C section §C045
C046,M,i18n,Mixed-locale UGC,RESOLVED_BY_PACK_C,§C046,Implement according to Pack C section §C046
C047,M,i18n,Date / number / currency formats,RESOLVED_BY_PACK_C,§C047,Implement according to Pack C section §C047
C048,L,i18n,Region split,RESOLVED_BY_PACK_C,§C048,Implement according to Pack C section §C048
C049,L,i18n,Pluralization,RESOLVED_BY_PACK_C,§C049,Implement according to Pack C section §C049
C050,M,Design tokens,Dark mode,RESOLVED_BY_PACK_C,§C050,Implement according to Pack C section §C050
C051,M,Design tokens,Density,RESOLVED_BY_PACK_C,§C051,Implement according to Pack C section §C051
C052,M,Components,Skeleton specs,RESOLVED_BY_PACK_C,§C052,Implement according to Pack C section §C052
C053,M,Components,LineageGraph limits,RESOLVED_BY_PACK_C,§C053,Implement according to Pack C section §C053
C054,L,Components,RightDrawer stacking,RESOLVED_BY_PACK_C,§C054,Implement according to Pack C section §C054
C055,L,Components,CommandPalette ranking,RESOLVED_BY_PACK_C,§C055,Implement according to Pack C section §C055
C056,H,Accessibility,WCAG 2.1 AA baseline,RESOLVED_BY_PACK_C,§C056,Implement according to Pack C section §C056
C057,M,Accessibility,Keyboard shortcuts,RESOLVED_BY_PACK_C,§C057,Implement according to Pack C section §C057
C058,L,Accessibility,Reduced motion,RESOLVED_BY_PACK_C,§C058,Implement according to Pack C section §C058
C059,H,Acceptance,Cross-page E2E scenarios,RESOLVED_BY_PACK_C,§C059,Implement according to Pack C section §C059
C060,M,Mock,Seed scale,RESOLVED_BY_PACK_C,§C060,Implement according to Pack C section §C060
C061,M,Mock,Given/When/Then scenarios,RESOLVED_BY_PACK_C,§C061,Implement according to Pack C section §C061
C062,M,Testing,Contract tests,RESOLVED_BY_PACK_C,§C062,Implement according to Pack C section §C062
C063,M,Performance,Performance budgets,RESOLVED_BY_PACK_C,§C063,Implement according to Pack C section §C063
C064,H,Security,Security baseline,RESOLVED_BY_PACK_C,§C064,Implement according to Pack C section §C064
C065,M,Security,Audit immutability,RESOLVED_BY_PACK_C,§C065,Implement according to Pack C section §C065
C066,L,Testing,Visual regression future,RESOLVED_BY_PACK_C,§C066,Implement according to Pack C section §C066
C067,M,Spec,Glossary,RESOLVED_BY_PACK_C,§C067,Implement according to Pack C section §C067
C068,M,Spec,Mermaid diagrams,RESOLVED_BY_PACK_C,§C068,Implement according to Pack C section §C068
C069,L,Spec,Spec semver and changelog,RESOLVED_BY_PACK_C,§C069,Implement according to Pack C section §C069
C070,L,Spec,Owner per section,RESOLVED_BY_PACK_C,§C070,Implement according to Pack C section §C070
C071,M,Strategy,Costs / Calendar tab schema,RESOLVED_BY_PACK_C,§C071,Implement according to Pack C section §C071
C072,M,Persona,Persona Lab tab details,RESOLVED_BY_PACK_C,§C072,Implement according to Pack C section §C072
C073,M,Capital,Ranking Inputs tab,RESOLVED_BY_PACK_C,§C073,Implement according to Pack C section §C073
C074,M,Rebalance,Step UI components,RESOLVED_BY_PACK_C,§C074,Implement according to Pack C section §C074
C075,M,Signal,Confidence scale labels,RESOLVED_BY_PACK_C,§C075,Implement according to Pack C section §C075
C076,L,Committee,Evidence pack templates,RESOLVED_BY_PACK_C,§C076,Implement according to Pack C section §C076
C077,L,DailyBrief,KPI timezone and null handling,RESOLVED_BY_PACK_C,§C077,Implement according to Pack C section §C077
C078,L,CommandCenter,Lifecycle bucket colors,RESOLVED_BY_PACK_C,§C078,Implement according to Pack C section §C078
